07:10 HC 2024-07-08
codigo_postal,direccion_fisica,tipo_envio,forma_pago
2X054,Independencia 2024.,0,2
3439307,Revolucion 2468.,1,2
692X,Pacifico #999.,2,2
630390,Los Andes 1357.,0,2
C3691VZN,Revolucion 123.,2,2
052326,AMerica #999.,0,1
0092,Atlantico 1357.,5,2
8080530,Independencia 987.,4,1
D62X0NUT,Revolucion 2024.,0,2
659978,Pacifico 2024.,2,1
44663,Bolivar 2468.,5,2
1020,AMerica 2024.,3,1
51XX,AMerica 2024.,2,1
1222,Pacifico 1357.,6,1
89802,Atlantico #999.,6,1
D5710ZMC,Revolucion 1357.,4,1
Q1905IHV,Revolucion 456.,3,2
36081-169,Bra$il #999.,6,2
51086-744,Bra$il 2024.,6,2
0131,AMerica 1357.,3,1
502574,Libertad 1357.,4,2
35034,Atlantico 1357.,3,2
125840,Del $ol 987.,4,2
X1640,Del $ol 2468.,1,2
O78X9XGD,Pacifico 2024.,6,2
X60595,Bolivar #999.,2,2
W5350XSQ,Independencia 2024.,4,2
X9X54OAL,Libertad 1357.,5,1
705044,Pacifico 2024.,4,1
73432-X7X,Oscar Freire 123.,0,1
J1796GTD,Revolucion 456.,4,2
461541,Los Andes 2024.,0,2
W0820HAX,AMerica 987.,3,2
31765-570,Bra$il 456.,6,1
72407,San Martin 456.,5,1
165X4,Pacifico 123.,2,2
70205-404,Bra$il 1357.,6,2
56133,Independencia 123.,0,2
M0500AIH,AMerica 2024.,0,1
441572,AMerica 456.,3,1
7X08828,Revolucion 987.,3,2
0007X-300,Paulista 1357.,2,2
98X964,Libertad 1357.,6,1
502694,Del $ol 2468.,2,1
38968-700,Oscar Freire 2024.,4,2
06031,San Martin 2024.,2,2
555420,AMerica 2024.,2,1
0198908,AMerica 2468.,1,2
8074876,San Martin 2468.,3,1
X0381FRP,Revolucion #999.,2,1
24842-707,Ouvidor 1357.,3,2
K6740VLI,Pacifico 123.,3,1
54731,Los Andes #999.,3,1
8X57,Revolucion 2468.,4,2
10990,Independencia 123.,2,2
74158-730,Bra$il #999.,4,1
8368302,AMerica 1357.,0,2
9X255,Independencia 123.,5,2
2007944,AMerica 2024.,3,1
6X418-10X,Paulista 123.,2,1
4086569,Los Andes 1357.,0,2
76X50,Independencia #999.,5,1
7306,Libertad #999.,5,1
47747,Los Andes 987.,6,2
8504,Revolucion 456.,1,1
398X5,San Martin 2024.,0,1
7837039,San Martin 123.,1,2
12868,Los Andes 456.,3,2
6853642,Libertad 2468.,2,2
5738,Revolucion 1357.,6,2
80990-301,DO Porto #999.,6,2
168737,Los Andes 2024.,5,1
44163-046,DO Porto 987.,5,1
91970-261,Ouvidor 123.,1,2
4820500,Bolivar 456.,2,2
84289,Del $ol 1357.,6,1
4039,Del $ol 987.,2,2
8202,San Martin #999.,6,2
7X60680,Atlantico 2024.,2,2
D2096DBR,Libertad 123.,0,2
7086,AMerica 987.,0,2
88952,AMerica #999.,4,2
I3010WGJ,Atlantico 2468.,3,2
995075,Bolivar 456.,3,1
35783-080,Das Flores 987.,1,2
F2872MUU,Atlantico #999.,1,2
33X02,Libertad 456.,5,2
870783,San Martin 987.,4,1
04X7,Atlantico #999.,4,2
T1165VWL,Del $ol 987.,1,2
03091-444,Bra$il 456.,3,1
52137-005,Das Pedras 2468.,3,1
2261663,Independencia 1357.,5,1
605405,Los Andes 123.,2,1
052519,Revolucion 2024.,0,2
R0806BEO,Independencia 123.,0,2
004X7-931,Das Pedras 1357.,6,1
I3240VAL,Los Andes 1357.,1,2
9017,Pacifico 2468.,0,1
5744,Pacifico 2468.,2,1
1538,Revolucion 456.,0,2
3905,Libertad 123.,6,1
43421,Atlantico #999.,2,1
078220,Independencia 1357.,6,2
R4359IXJ,Del $ol 123.,0,2
OX241CTX,Revolucion 456.,0,1
5X4X8-090,Das Flores 123.,4,2
0709,San Martin #999.,6,2
85000,AMerica 2024.,1,2
X387,Pacifico 1357.,3,2
07377,Los Andes 987.,4,2
R3896DGQ,Revolucion #999.,6,1
J9178IZH,Los Andes #999.,2,2
5800199,Atlantico 2468.,5,1
8250,Pacifico 123.,0,1
7816764,San Martin 123.,5,2
110082,Los Andes 1357.,0,2
U3724GHP,Del $ol 1357.,5,2
XX451-336,Oscar Freire #999.,2,1
1382,Libertad 1357.,3,2
3001,Pacifico 456.,6,2
1X98,Revolucion 2024.,6,1
9618034,Del $ol 1357.,3,1
234512,Bolivar 123.,1,1
764077,Libertad #999.,3,2
R6825ZLL,Pacifico 123.,4,1
687119,Los Andes #999.,6,2
87054-759,Paulista 2468.,3,1
89012,Revolucion 2024.,3,2
212969,Revolucion 456.,2,1
5760,Del $ol 456.,0,2
24384,San Martin 123.,2,1
B8210SIA,Pacifico 456.,3,2
427200,Los Andes 123.,4,1
1067685,Bolivar 123.,2,2
4604016,Libertad 987.,0,1
072514,Pacifico 1357.,1,1
61207,Del $ol 2024.,2,1
4053,Atlantico 2024.,0,1
7039,Pacifico 123.,2,2
27315,Los Andes 1357.,0,2
32892,Libertad #999.,2,1
54541-735,Paulista 987.,2,1
2600,Pacifico 1357.,6,1
C6900LIH,AMerica 987.,3,2
9612,Los Andes 123.,6,2
64020,Los Andes 123.,5,2
0837711,Libertad 123.,0,1
87421XX,Independencia 1357.,2,1
6644,Revolucion 987.,0,2
M5541XRZ,Del $ol #999.,5,1
Q4073GTE,Atlantico 2468.,1,1
089608,AMerica 123.,6,1
005X317,Del $ol 987.,4,1
90685-290,Rio Branco #999.,5,2
T1118XZR,Pacifico 987.,6,2
X0555-938,DO Porto 987.,2,2
E56X4AXU,Atlantico 456.,6,1
9017288,Independencia 456.,0,2
9140,Revolucion 2024.,1,1
171137,Los Andes 987.,6,2
X408030,Bolivar 123.,6,1
90509-8X5,Oscar Freire 2468.,3,2
96671,Pacifico 456.,5,2
7815,Del $ol #999.,5,2
8284723,Bolivar 987.,5,2
5750960,Atlantico 987.,0,2
CX811SCC,Bolivar 2024.,0,1
R1398JHD,Bolivar 2024.,5,2
B3700PNM,AMerica #999.,5,1
5051,AMerica #999.,0,1
0076003,AMerica #999.,5,2
1009,Bolivar 987.,0,2
583792,Libertad 123.,3,2
56X73-3X7,Paulista #999.,1,2
3770,Bolivar #999.,0,2
1072,Libertad 1357.,5,2
4508X0,Revolucion 2468.,2,2
087X,Pacifico 987.,3,1
53171,AMerica 456.,5,1
A910XOBP,Bolivar 987.,1,1
281236,Revolucion 987.,1,2
54763-390,Ouvidor 2024.,5,2
957X00,San Martin #999.,5,1
00611,Independencia 1357.,2,1
8889632,Revolucion 123.,3,2
11016,Los Andes 456.,3,2
5457,Atlantico 456.,5,2
03859-754,DO Porto 456.,6,1
50360-821,DO Porto 2024.,5,1
64751-890,Oscar Freire 456.,0,2
619087,Del $ol 456.,1,2
442608,Libertad 2024.,3,2
Z3281IVO,San Martin 123.,6,2
7698,Independencia 123.,6,2
0XXX4-917,Das Pedras #999.,2,2
06X602,Revolucion 2024.,2,2
0489X9,Los Andes 123.,4,1
4050673,Atlantico 1357.,6,1
90381,AMerica 987.,3,2
17082-613,Das Pedras #999.,6,2
W2205RYC,Independencia 1357.,3,2
7675,Pacifico 987.,2,1
6816,San Martin 1357.,6,1
7044X-046,Bra$il 456.,4,2
53X66,Atlantico 456.,4,2
E1172EIN,Bolivar 2468.,4,2
6071X,Atlantico 123.,5,2
030010,Independencia 456.,0,1
T00X8WKJ,Libertad #999.,4,1
R2314YSD,Los Andes 2468.,4,1
66X00,Los Andes 2468.,0,1
0216674,Revolucion 123.,0,1
0X82,Los Andes #999.,3,2
X893621,Atlantico 1357.,3,1
Y7945AXB,Independencia #999.,4,1
04582,Del $ol 2024.,3,1
12475-X15,Oscar Freire 456.,0,1
65386X0,Atlantico 456.,4,2
J0319QBC,Independencia #999.,1,2
9305605,Libertad 987.,0,2
F4043EHS,Del $ol 123.,4,1
4704,AMerica 1357.,4,2
922X215,Libertad #999.,0,1
1046998,Pacifico #999.,3,2
V9840QVR,Independencia 123.,5,1
9406,Del $ol 123.,2,2
009080,Libertad 456.,4,1
3X232-913,DO Porto 456.,4,1
408X,Pacifico 456.,4,2
26805-240,Das Pedras 987.,4,2
X2180,Libertad 987.,4,2
8813748,Atlantico 123.,1,1
04030,Atlantico 456.,1,2
218620,Pacifico 987.,1,1
9178045,Atlantico 123.,0,2
862461,Libertad 456.,3,2
3097937,Atlantico 1357.,5,2
858X270,Pacifico 987.,3,2
665X7-403,Ouvidor 456.,2,2
4677,Del $ol 987.,1,1
N0081ALK,AMerica 123.,5,1
D4X8XGMS,Bolivar 123.,3,1
64X923,Los Andes #999.,5,2
502XX4,Pacifico 2468.,6,1
21478,Pacifico 456.,4,1
5435,Los Andes 1357.,1,2
U4004HLA,Independencia 2024.,6,2
619X8-X23,Oscar Freire #999.,0,2
7066209,AMerica #999.,3,2
2786024,Bolivar #999.,4,1
200009,Del $ol 987.,1,1
390955,Libertad 123.,6,2
110187,Independencia 456.,0,1
7240851,Revolucion 123.,3,1
91030,Independencia #999.,1,1
S3501PBP,Los Andes #999.,4,2
5539,Pacifico 456.,5,1
84448-438,Ouvidor 1357.,5,1
707051,Libertad 2468.,2,2
658097,Del $ol 987.,0,1
L9X25AEQ,Revolucion 2024.,1,2
2304926,Independencia 2468.,4,1
46357-733,Oscar Freire 2468.,2,2
6769326,Pacifico #999.,4,2
9827X40,Los Andes 987.,4,1
2X08642,Revolucion #999.,5,2
78196,Revolucion 1357.,4,1
L9760EKZ,AMerica 987.,3,1
3634,Libertad 456.,1,2
54083,San Martin 2024.,1,2
25002-748,Ouvidor 2024.,0,2
C7702AZH,Pacifico 123.,4,2
05079-012,Vieira Souto 987.,6,2
86513,Atlantico 456.,1,1
39056-899,Das Pedras #999.,1,2
9600065,Bolivar 2468.,1,1
921037,Bolivar 123.,4,2
95805-711,Ouvidor 2468.,3,1
X952,Pacifico 987.,2,1
809084,Atlantico 456.,5,2
15003-530,Das Flores 1357.,4,2
7504,Pacifico #999.,6,2
824011X,Del $ol 123.,0,1
1215,Atlantico 456.,1,2
Y6391QWP,Libertad 987.,1,2
X9043,Pacifico 456.,5,2
70537,Pacifico #999.,4,1
99050,Libertad 123.,6,2
8059109,Independencia 2024.,6,2
420X3-200,Das Flores 987.,1,1
I2097FMO,San Martin 987.,0,2
X7966-205,Oscar Freire 123.,6,2
4X798,San Martin #999.,1,1
95139-X19,Das Flores 123.,4,1
42X70-175,Oscar Freire 2024.,3,2
19095-376,DO Porto 456.,0,2
A9055JYF,AMerica 2024.,4,2
0860808,Independencia 987.,6,2
8580,Del $ol 2024.,1,1
102518,Los Andes 987.,1,2
S3730ZKP,San Martin 123.,6,2
98690-3X0,Ouvidor #999.,2,1
8342567,Pacifico 456.,0,1
02027,Independencia 2024.,6,2
F9809DXK,Pacifico 2024.,1,1
B9828NNP,San Martin 2024.,2,2
40205-263,Bra$il 1357.,3,2
1533,Independencia 1357.,5,1
832100,Independencia 1357.,0,1
012220,AMerica 123.,6,1
V0826CXB,Revolucion 456.,0,1
0X952-314,Ouvidor 2024.,6,1
4220,Pacifico 987.,4,1
3160,Revolucion 987.,3,1
5441987,Pacifico 987.,5,1
I6746LKQ,Independencia 456.,3,2
5334916,Independencia 2024.,1,2
09631,Pacifico 123.,1,1
0678,San Martin 123.,4,1
87603,San Martin 987.,1,2
5X01,San Martin 1357.,6,2
F9030ROT,Libertad 1357.,0,2
3339318,Independencia 2024.,3,1
36139,AMerica 456.,0,2
57254,Independencia 987.,4,2
S758XKQQ,Revolucion 987.,1,2
81318-068,Bra$il 987.,5,2
X3X858,Del $ol 456.,5,2
0430X6,Bolivar 456.,3,1
4090,Libertad 987.,3,2
4362X7,Bolivar 987.,5,1
510284,San Martin 2468.,6,2
6987,Del $ol 987.,3,2
XX020TPB,Pacifico 123.,2,2
18551-300,Bra$il 2024.,6,1
843X09,AMerica 987.,1,2
386X23,Revolucion 1357.,3,1
42893-764,Bra$il 456.,6,2
G8909LHG,Libertad 456.,1,1
5422410,AMerica #999.,2,2
7715379,Independencia 2024.,3,2
9154,Revolucion 2468.,6,1
04785-319,Rio Branco 2468.,0,2
418825,San Martin #999.,4,1
239861,Los Andes 123.,4,2
10476X,Libertad 1357.,0,1
09544,San Martin 2024.,0,1
U7264ROG,AMerica 2024.,5,1
02008,San Martin 2024.,6,2
013854,San Martin 2468.,5,1
W4392UBG,Del $ol 2024.,1,2
19566,Libertad 123.,3,2
53482,Pacifico 2024.,0,1
H5296OSS,Libertad 2024.,1,1
Q3833YIJ,Del $ol #999.,4,2
9900010,Atlantico 123.,3,2
93519-7X1,Das Flores 2468.,1,2
720X629,Bolivar 987.,4,1
09826,Libertad #999.,2,1
2811,San Martin 123.,1,1
03576-322,Ouvidor 123.,3,1
152X8-237,Ouvidor 456.,2,2
3697,Independencia 456.,3,2
U0X25UHV,Revolucion 2024.,2,2
GX173ZMF,Libertad #999.,4,2
068001,San Martin 2468.,2,1
04696,San Martin 123.,1,1
17X90,San Martin 123.,0,2
409521,AMerica 2024.,6,2
37602,Libertad 123.,4,2
V2640CYP,Atlantico 2024.,4,2
4X96XX9,Bolivar 987.,1,2
9037,Pacifico 1357.,6,2
17670,Independencia 456.,3,1
074771,Los Andes 1357.,4,2
I6X39FNP,Del $ol 123.,0,2
7987,Del $ol 1357.,1,1
353355,San Martin 1357.,6,2
875X9-746,Bra$il 987.,4,2
U6049ZLN,AMerica #999.,1,1
8540810,Del $ol 456.,0,1
9006,San Martin 2468.,5,1
306505,Del $ol 2024.,2,2
472537,Revolucion 987.,2,2
02030,Revolucion 2468.,0,1
99126,Revolucion 1357.,5,1
709354,Pacifico 2024.,4,2
047292,Pacifico 2024.,2,1
0929383,Libertad 2468.,5,1
8202,Pacifico #999.,3,2
0221758,Del $ol 987.,3,2
0741,Atlantico 456.,5,1
71474-816,Paulista 123.,3,2
69066,Pacifico 1357.,4,1
5300180,Libertad 456.,5,1
7666,Del $ol 987.,1,2
994799,Atlantico 456.,6,2
X399,Bolivar 2468.,0,1
21402-000,Paulista 987.,1,2
8964209,Pacifico 1357.,6,1
549361,Atlantico #999.,4,2
6746,Del $ol 2024.,1,1
7684,Independencia 2024.,3,2
T0680KCX,Pacifico 1357.,5,2
050600,Independencia 2468.,5,2
91251,Revolucion 456.,5,2
298500,Libertad 1357.,5,1
95008-678,Ouvidor 123.,1,1
3314,San Martin 123.,1,2
00420,Pacifico 1357.,6,1
8290,Libertad 456.,0,1
5662,Atlantico 1357.,4,2
X41180,Del $ol 2468.,6,1
8780051,Revolucion 123.,0,1
E7757ZSW,San Martin 456.,3,2
93031-647,Das Flores 1357.,6,2
30X69-339,Das Pedras 2024.,6,2
080147,Revolucion #999.,6,2
1840,Del $ol 456.,1,2
49090,Independencia 1357.,1,2
8XX74,AMerica #999.,1,1
800604,Bolivar 456.,6,1
5952490,Atlantico 456.,5,1
3349008,Pacifico 2468.,1,2
X0639-078,DO Porto 1357.,2,1
U0099NCU,Del $ol #999.,6,1
54766-328,Ouvidor 1357.,5,1
773326,San Martin 456.,1,2
175052,Bolivar 123.,3,2
46004,San Martin 1357.,3,1
X9071,Del $ol 987.,6,1
4032392,Del $ol 456.,2,2
68764,Revolucion 123.,5,2
326577,Pacifico 987.,5,2
3070374,Libertad 456.,6,1
828X5-283,Oscar Freire #999.,2,1
X2101-1X3,Oscar Freire 456.,1,1
159426,Independencia 987.,3,1
973186,Revolucion 123.,2,1
3550418,Pacifico 2024.,0,2
0417,Atlantico #999.,1,1
363505,Libertad 2024.,1,2
247001,San Martin #999.,4,2
O0802DBR,Bolivar 987.,5,1
804094,Atlantico 456.,2,1
1688,Los Andes 2024.,4,2
L0603NOE,Atlantico 987.,0,1
7570,Independencia 2468.,6,1
0790,Revolucion 987.,5,2
681271,Libertad 1357.,0,2
X7170,San Martin 123.,4,2
97025,Atlantico 987.,5,2
46374-3X6,Das Flores 2024.,6,2
5601,Bolivar 987.,6,1
C2793EOP,AMerica 2024.,1,1
62166-248,Das Pedras 987.,6,2
G7106UXH,AMerica 987.,3,2
11346,Libertad 1357.,5,1
W002XAOO,Libertad 987.,5,2
204609,Independencia 1357.,5,1
H6276BLM,Libertad 456.,3,2
X7021,Los Andes 2024.,3,1
44097-222,Vieira Souto 987.,0,2
76168,Libertad 2024.,6,1
433529,Del $ol #999.,5,1
40411,Atlantico 456.,0,2
M2035LLP,Revolucion 456.,1,1
7769545,Pacifico 987.,5,2
407X,Los Andes 123.,6,2
0X839,AMerica 2024.,5,1
4780966,Los Andes 2024.,0,1
23397-488,Vieira Souto 2468.,4,1
U0317WJW,Libertad 2468.,0,1
27X2740,Atlantico 1357.,1,1
X8000TAJ,Independencia 987.,0,1
967959,Pacifico 456.,6,1
96233,Los Andes 456.,3,1
5243,San Martin 456.,5,2
572124,Bolivar 456.,5,1
70009,Los Andes 2468.,0,2
X1465KGX,Los Andes 2024.,1,1
019010,Libertad 456.,1,2
75875-802,Bra$il 987.,2,2
0030,AMerica 987.,1,1
0709,Pacifico #999.,4,2
044X,AMerica 2468.,4,1
6484394,Atlantico 987.,3,1
B6930VQM,Atlantico 123.,1,2
Q2400WZP,Bolivar 987.,5,1
8100,Libertad 1357.,0,2
09084-035,Das Flores 987.,0,1
40927-6X4,Das Flores #999.,2,1
K8302OFB,Independencia 1357.,2,2
3356X8,AMerica 123.,5,1
39552,Atlantico 456.,5,1
253204,Revolucion 2468.,4,1
0669X,Libertad 987.,4,2
0811,San Martin 2468.,4,1
5859,Atlantico 456.,2,2
4092170,San Martin 2468.,5,2
U6953KSO,Libertad 123.,0,1
P2021AVV,AMerica 2024.,2,1
S801XMIF,Atlantico 456.,6,1
20481,AMerica 2468.,6,2
682227,Del $ol 2024.,6,1
U8842KPS,Libertad #999.,4,2
934950,San Martin 987.,1,2
9229,Atlantico 987.,2,1
10810,Bolivar 987.,1,2
D6919SHS,Bolivar #999.,1,1
9143,Revolucion 456.,1,1
63438,Los Andes 1357.,2,2
2988005,Del $ol 1357.,1,2
3X43,Libertad #999.,0,2
7452,Atlantico 2468.,0,2
982925,Revolucion 987.,1,2
700482,Libertad #999.,4,1
766854,Del $ol #999.,3,1
179747,San Martin 123.,1,2
22X59-645,Vieira Souto 1357.,6,2
55601-046,Vieira Souto 456.,6,1
75254,Atlantico 1357.,3,2
O8547ZXL,Pacifico 456.,6,1
2870,Revolucion 456.,3,1
4925,AMerica #999.,1,2
873540,Los Andes #999.,5,1
QX6X6QXI,Revolucion 987.,0,2
S6108FHM,Bolivar 1357.,3,1
2175,Los Andes 2468.,1,1
24X80-959,Rio Branco #999.,0,2
V8602RBN,San Martin 987.,1,1
00893,Los Andes 456.,3,2
D5234EOV,Del $ol 456.,2,1
4X01,Libertad 456.,0,1
C5139UOV,Atlantico 1357.,3,1
83901-003,DO Porto 2468.,6,2
G0625OFK,Independencia 987.,2,1
90864,Bolivar 123.,1,2
10100-754,Rio Branco 2468.,2,2
41854,Independencia 2468.,6,1
703894,Bolivar 987.,0,1
6664054,Bolivar 123.,3,1
6X272X,Atlantico 1357.,4,2
870X15,AMerica 2024.,1,2
63098-192,Oscar Freire 2024.,4,1
2858,Independencia 2024.,0,2
04128-648,DO Porto 2468.,6,1
N4280NFD,Bolivar 2468.,1,1
2726076,Libertad 456.,2,1
9706,Libertad 2468.,6,1
25796-123,Paulista 987.,4,1
3783,Bolivar 1357.,1,1
04450,Del $ol 456.,4,2
20449-491,Oscar Freire 456.,1,1
0X0803,AMerica 987.,5,1
M7600CUD,Bolivar #999.,3,1
5509,Pacifico 1357.,4,1
80569-060,Das Flores 2024.,1,2
M2835RVM,Atlantico 2024.,2,2
77X6,Los Andes 1357.,5,2
00528-300,Das Flores 456.,2,2
23907,San Martin 456.,1,2
03650,Libertad 123.,0,2
0331061,Independencia 2024.,5,1
305071,Del $ol 123.,0,2
47505-224,Ouvidor 1357.,4,1
4X800-760,Oscar Freire 1357.,6,2
X63670,Atlantico #999.,3,2
095621,Los Andes #999.,3,1
90X0,Libertad #999.,0,2
833102,Bolivar 1357.,6,1
24049-216,Das Flores 456.,5,1
33949-X45,Vieira Souto 987.,0,2
P6094RIY,Los Andes #999.,1,1
125666,Libertad 987.,5,1
0730,San Martin 456.,4,1
86779-575,Das Flores 2024.,5,1
8408050,Del $ol #999.,1,1
696605,Los Andes 1357.,4,2
04160-03X,Bra$il 1357.,2,1
30195-007,Das Flores 1357.,1,1
727242,Independencia 2468.,1,1
X6051TRB,Revolucion 456.,6,1
090736,Bolivar 987.,3,2
2515,AMerica 1357.,5,1
2028,Independencia 2468.,1,2
30X965,AMerica 2468.,4,1
5X689-803,DO Porto 2468.,3,2
7169X-049,Vieira Souto 2024.,6,2
51784-455,Rio Branco 123.,0,1
7080,AMerica 2468.,5,1
477534,AMerica 456.,1,1
1756,Revolucion #999.,3,1
328726,Revolucion 456.,0,1
D8588BYR,Libertad 456.,5,2
856000,AMerica 1357.,2,2
X000X,Los Andes 2468.,3,1
3094944,Atlantico 987.,5,1
S3837DWF,Libertad #999.,3,2
J4066CDO,Del $ol 987.,5,1
0661908,Libertad 2024.,6,2
0266376,Del $ol 2468.,0,2
9924X,Libertad 987.,5,1
A6501EJU,Los Andes 456.,3,1
0101045,Revolucion 987.,1,1
79X9,Pacifico 456.,0,2
143041,Los Andes 2024.,5,2
8360780,AMerica 456.,3,1
54205,Atlantico 123.,2,2
66346-596,Bra$il 2468.,3,1
X10740,Pacifico 1357.,5,1
8503,Los Andes 456.,3,2
I3479UTM,Pacifico 2024.,3,2
19081-900,Rio Branco 987.,0,1
930602,Pacifico 456.,0,1
16008,Pacifico 123.,0,1
69015-419,Das Flores 1357.,5,1
07697,Libertad 2468.,5,2
89054-73X,Das Pedras 2024.,5,1
041687,Revolucion 987.,6,2
X441952,Bolivar 1357.,5,1
01134,Independencia #999.,0,2
575008,Libertad 123.,5,2
7346,Revolucion 2468.,1,2
7257,AMerica 456.,2,1
160976,AMerica 987.,4,2
D0693XZR,San Martin 123.,5,1
I8809QKL,Revolucion 2468.,1,1
627770,Revolucion 987.,1,2
3900,Revolucion #999.,2,1
V2949JOJ,Revolucion 456.,2,1
605X6-008,Das Pedras 987.,5,1
52674-870,Rio Branco #999.,6,2
41377-770,Rio Branco #999.,4,1
0998454,Atlantico 456.,4,1
0912570,Independencia #999.,6,1
Y3352KKW,Revolucion 2024.,5,2
00916-149,Rio Branco 2024.,6,1
4989841,Los Andes #999.,4,1
0X5878,Bolivar #999.,0,2
5614739,Revolucion 1357.,1,1
14970,Bolivar 123.,4,1
2894,Revolucion 2468.,6,1
29534X,Revolucion 2468.,6,2
3420231,Del $ol 2024.,4,2
5860,Revolucion 1357.,2,1
0553054,Del $ol #999.,5,1
45519,Los Andes #999.,3,2
2230,Libertad 1357.,5,1
7043X,Pacifico 2468.,1,2
41959,Pacifico 456.,4,2
7008,AMerica 456.,2,1
401852,Atlantico 2468.,2,2
0534,San Martin #999.,0,1
O094XIRC,Del $ol 456.,3,2
2039X,San Martin 1357.,4,2
31404,Bolivar 987.,5,1
835666,Revolucion #999.,1,2
2762252,Atlantico #999.,0,2
5537429,Atlantico 987.,4,1
26084-6X6,Ouvidor 987.,1,2
816068,Bolivar 123.,2,1
957124,AMerica #999.,5,2
806605,Atlantico 456.,2,2
713203,San Martin 123.,4,2
Z2267JMA,Los Andes 2468.,1,1
813309,Pacifico 456.,5,2
01619-146,Das Flores 2024.,2,2
7241840,Atlantico 456.,3,2
3489,San Martin #999.,3,2
X1314OVN,Revolucion #999.,3,1
2733665,AMerica 2468.,3,2
14496,AMerica 1357.,6,2
6155091,Independencia 2468.,6,2
8490,Independencia 123.,4,2
84849,Bolivar 123.,3,2
88905X,Del $ol 1357.,0,2
669394,Independencia 987.,6,1
F2500FAW,Del $ol #999.,5,2
0027,Independencia 123.,1,1
0701235,Atlantico 2024.,5,2
63200X,AMerica 1357.,5,2
77205,Libertad 2024.,5,2
644001,Los Andes 456.,2,1
062835,Independencia 2468.,2,2
C0520AQO,Bolivar 456.,4,2
00552-047,Oscar Freire #999.,4,1
070716,Independencia 2468.,2,1
4X563-598,DO Porto 2024.,1,1
6X138-270,Vieira Souto 2024.,6,2
Y4669WCE,Independencia 987.,2,1
7X72254,Independencia #999.,0,2
3372,Los Andes 2468.,3,1
B8010CVP,Revolucion 456.,6,2
7362957,Del $ol 987.,0,1
110150,AMerica #999.,4,1
38290,Revolucion #999.,6,1
H3121KAJ,San Martin 123.,1,1
76156-744,Das Flores 2024.,0,1
940820,Los Andes 123.,0,2
